MiniBooNE nubar mode flux
Based on december2007_horn-174ka_rgen610.6_flux.root
Elo: Lower bin edge in GeV
Ehi: Upper bin edge in GeV
numu flux    (numu/cm^2/proton-on-target/50 MeV)
numubar flux (numubar/cm^2/proton-on-target/50 MeV)
nue flux     (nue/cm^2/proton-on-target/50 MeV)
nuebar flux  (nuebar/cm^2/proton-on-target/50 MeV)
  Elo   Ehi       numu      numub        nue       nueb
 5.90  5.95  1.285e-15  3.495e-19  2.035e-18  4.238e-18
 5.95  6.00  1.207e-15  2.521e-19  1.918e-18  4.177e-18
 6.00  6.05  1.090e-15  1.967e-19  1.503e-18  2.956e-18
 6.05  6.10  9.855e-16  1.264e-19  1.575e-18  3.042e-18
 6.10  6.15  9.135e-16  6.892e-20  1.358e-18  2.275e-18
 6.15  6.20  8.085e-16  7.387e-20  9.778e-19  2.627e-18
 6.20  6.25  7.326e-16  3.467e-20  1.387e-18  2.442e-18
 6.25  6.30  6.565e-16  1.026e-19  7.948e-19  2.066e-18
 6.30  6.35  5.453e-16  1.603e-20  1.305e-18  1.443e-18
 6.35  6.40  4.648e-16  1.620e-20  1.474e-18  1.399e-18
 6.40  6.45  3.907e-16  1.130e-20  8.011e-19  8.317e-19
 6.45  6.50  3.184e-16  1.395e-20  4.634e-19  5.430e-19
 6.50  6.55  2.513e-16  2.114e-21  3.624e-19  6.978e-19
 6.55  6.60  2.045e-16  3.943e-21  2.672e-19  5.496e-19
 6.60  6.65  1.670e-16  1.888e-21  2.113e-19  2.634e-19
 6.65  6.70  1.282e-16  6.712e-21  2.340e-19  1.412e-19
 6.70  6.75  9.410e-17  5.944e-21  1.633e-19  2.165e-19
 6.75  6.80  5.239e-17  0.000e+00  2.508e-19  1.661e-19
 6.80  6.85  2.397e-17  1.436e-21  2.236e-19  1.678e-19
 6.85  6.90  6.894e-18  0.000e+00  2.219e-19  1.920e-19
 6.90  6.95  6.623e-19  0.000e+00  3.985e-19  1.301e-19
 6.95  7.00  2.247e-19  0.000e+00  4.860e-19  1.633e-19
 7.00  7.05  1.282e-19  0.000e+00  6.373e-19  2.827e-19
 7.05  7.10  7.659e-20  0.000e+00  4.257e-19  2.540e-19
 7.10  7.15  0.000e+00  0.000e+00  2.612e-19  3.401e-19
 7.15  7.20  0.000e+00  1.436e-21  2.325e-19  3.840e-19
 7.20  7.25  0.000e+00  0.000e+00  4.544e-19  1.678e-19
 7.25  7.30  0.000e+00  0.000e+00  1.149e-19  1.588e-19
 7.30  7.35  0.000e+00  0.000e+00  5.743e-20  1.346e-19
 7.35  7.40  0.000e+00  0.000e+00  5.743e-20  2.027e-19
 7.40  7.45  0.000e+00  0.000e+00  0.000e+00  1.678e-19
 7.45  7.50  0.000e+00  0.000e+00  0.000e+00  7.266e-20
 7.50  7.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.55  7.60  0.000e+00  0.000e+00  0.000e+00  2.422e-20
 7.60  7.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.65  7.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.70  7.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.75  7.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.80  7.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.85  7.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.90  7.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.95  8.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.00  8.05  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.05  8.10  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.10  8.15  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.15  8.20  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.20  8.25  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.25  8.30  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.30  8.35  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.35  8.40  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.40  8.45  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.45  8.50  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.50  8.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.55  8.60  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.60  8.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.65  8.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.70  8.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.75  8.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.80  8.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.85  8.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.90  8.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.95  9.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.00  9.05  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.05  9.10  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.10  9.15  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.15  9.20  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.20  9.25  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.25  9.30  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.30  9.35  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.35  9.40  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.40  9.45  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.45  9.50  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.50  9.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.55  9.60  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.60  9.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.65  9.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.70  9.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.75  9.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.80  9.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.85  9.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.90  9.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.95 10.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
