****************************************************************************************************
This file includes true energy spectra and migration matrices for the neutral current elastic sample
with the reconstructed energy from 40 to 650 MeV and flat fiducial volume cut R < 4.2m.
****************************************************************************************************

      energy range(MeV)|   0.0<Ttrue< 18.0  18.0<Ttrue< 36.0  36.0<Ttrue< 54.0  54.0<Ttrue< 72.0  72.0<Ttrue< 90.0  90.0<Ttrue<108.0 108.0<Ttrue<126.0 126.0<Ttrue<144.0 144.0<Ttrue<162.0 162.0<Ttrue<180.0 180.0<Ttrue<198.0 198.0<Ttrue<216.0 216.0<Ttrue<234.0 234.0<Ttrue<252.0 252.0<Ttrue<270.0 270.0<Ttrue<288.0 288.0<Ttrue<306.0 306.0<Ttrue<324.0 324.0<Ttrue<342.0 342.0<Ttrue<360.0 360.0<Ttrue<378.0 378.0<Ttrue<396.0 396.0<Ttrue<414.0 414.0<Ttrue<432.0 432.0<Ttrue<450.0 450.0<Ttrue<468.0 468.0<Ttrue<486.0 486.0<Ttrue<504.0 504.0<Ttrue<522.0 522.0<Ttrue<540.0 540.0<Ttrue<558.0 558.0<Ttrue<576.0 576.0<Ttrue<594.0 594.0<Ttrue<612.0 612.0<Ttrue<630.0 630.0<Ttrue<648.0 648.0<Ttrue<666.0 666.0<Ttrue<684.0 684.0<Ttrue<702.0 702.0<Ttrue<720.0 720.0<Ttrue<738.0 738.0<Ttrue<756.0 756.0<Ttrue<774.0 774.0<Ttrue<792.0 792.0<Ttrue<810.0 810.0<Ttrue<828.0 828.0<Ttrue<846.0 846.0<Ttrue<864.0 864.0<Ttrue<882.0 882.0<Ttrue<900.0    Ttrue>900.0
energy range(MeV)      |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 40.0<Trec< 52.0       |  0.000000e+00      0.000000e+00      0.000000e+00      3.143109e-01      1.106272e+00      7.857774e-01      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
 52.0<Trec< 63.9       |  0.000000e+00      0.000000e+00      0.000000e+00      4.716111e+00      1.354206e+01      1.575125e+01      5.971908e+00      2.828799e+00      9.429328e-01      3.143109e-01      3.143109e-01      1.571555e-01      0.000000e+00      3.143109e-01      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
 63.9<Trec< 75.9       |  0.000000e+00      3.425748e-01      4.714664e-01      8.014929e+00      5.525738e+01      6.577044e+01      3.787902e+01      1.415200e+01      5.814753e+00      1.728710e+00      1.599556e+00      3.143109e-01      1.100088e+00      1.571555e-01      4.714664e-01      3.143109e-01      1.571555e-01      3.143109e-01      4.714664e-01      4.714664e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
 75.9<Trec< 87.8       |  0.000000e+00      0.000000e+00      1.257244e+00      6.286219e+00      4.877134e+01      1.032352e+02      7.549025e+01      2.970650e+01      8.802679e+00      5.268104e+00      3.771731e+00      2.200177e+00      1.414399e+00      4.714664e-01      4.714664e-01      1.571555e-01      3.143109e-01      6.286219e-01      7.857774e-01      4.714664e-01      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      3.143109e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
 87.8<Trec< 99.8       |  0.000000e+00      4.714664e-01      1.571555e-01      2.828799e+00      2.817638e+01      7.427259e+01      1.003587e+02      5.155710e+01      1.920335e+01      9.272173e+00      2.828799e+00      2.043021e+00      9.684078e-01      1.571555e-01      4.714664e-01      3.143109e-01      3.143109e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      4.714664e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
 99.8<Trec<111.8       |  0.000000e+00      1.571555e-01      1.571555e-01      1.412385e+00      8.827708e+00      5.219936e+01      9.224052e+01      7.561980e+01      3.482865e+01      1.037226e+01      5.029385e+00      2.357332e+00      9.429328e-01      7.888650e-01      4.714664e-01      3.143109e-01      1.571555e-01      1.571555e-01      3.143109e-01      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
111.8<Trec<123.7       |  0.000000e+00      1.571555e-01      4.714664e-01      3.143109e-01      4.087354e+00      3.396312e+01      7.777764e+01      8.754591e+01      5.766372e+01      1.793108e+01      7.386307e+00      3.300265e+00      1.885866e+00      9.429328e-01      9.429328e-01      7.857774e-01      3.143109e-01      0.000000e+00      6.286219e-01      1.571555e-01      3.143109e-01      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
