GlobalBin    Bin    row_lo    row_hi    subrow_lo    subrow_hi    element_lo    element_hi
208     70     1    2    0     0.3     0.577     0.659
209     71     1    2    0     0.3     0.659     2.506
210     72     1    2    0.3     0.5     0.106     0.226
211     73     1    2    0.3     0.5     0.226     0.296
212     74     1    2    0.3     0.5     0.296     0.386
213     75     1    2    0.3     0.5     0.386     0.505
214     76     1    2    0.3     0.5     0.505     0.577
215     77     1    2    0.3     0.5     0.577     0.659
216     78     1    2    0.3     0.5     0.659     0.753
217     79     1    2    0.3     0.5     0.753     0.861
218     80     1    2    0.3     0.5     0.861     2.506
219     81     1    2    0.5     0.7     0.106     0.226
220     82     1    2    0.5     0.7     0.226     0.296
221     83     1    2    0.5     0.7     0.296     0.386
222     84     1    2    0.5     0.7     0.386     0.505
223     85     1    2    0.5     0.7     0.505     0.577
224     86     1    2    0.5     0.7     0.577     0.659
225     87     1    2    0.5     0.7     0.659     0.753
226     88     1    2    0.5     0.7     0.753     0.861
227     89     1    2    0.5     0.7     0.861     0.984
228     90     1    2    0.5     0.7     0.984     2.506
229     91     1    2    0.7     0.8     0.106     0.226
230     92     1    2    0.7     0.8     0.226     0.296
231     93     1    2    0.7     0.8     0.296     0.386
232     94     1    2    0.7     0.8     0.386     0.505
233     95     1    2    0.7     0.8     0.505     0.577
234     96     1    2    0.7     0.8     0.577     0.659
235     97     1    2    0.7     0.8     0.659     0.753
236     98     1    2    0.7     0.8     0.753     0.861
237     99     1    2    0.7     0.8     0.861     0.984
238     100    1    2     0.7     0.8     0.984     1.285
239     101    1    2     0.7     0.8     1.285     2.506
240     102    1    2     0.8     0.9     0.106     0.226
241     103    1    2     0.8     0.9     0.226     0.296
242     104    1    2     0.8     0.9     0.296     0.386
243     105    1    2     0.8     0.9     0.386     0.505
244     106    1    2     0.8     0.9     0.505     0.577
245     107    1    2     0.8     0.9     0.577     0.659
246     108    1    2     0.8     0.9     0.659     0.753
247     109    1    2     0.8     0.9     0.753     0.861
248     110    1    2     0.8     0.9     0.861     0.984
249     111    1    2     0.8     0.9     0.984     1.285
250     112    1    2     0.8     0.9     1.285     2.506
251     113    1    2     0.9     1     0.106     0.226
252     114    1    2     0.9     1     0.226     0.296
253     115    1    2     0.9     1     0.296     0.386
254     116    1    2     0.9     1     0.386     0.505
255     117    1    2     0.9     1     0.505     0.577
256     118    1    2     0.9     1     0.577     0.659
257     119    1    2     0.9     1     0.659     0.753
258     120    1    2     0.9     1     0.753     0.861
259     121    1    2     0.9     1     0.861     0.984
260     122    1    2     0.9     1     0.984     1.285
261     123    1    2     0.9     1     1.285     2.506
262     0     -1000     -1000     -1     -0.5     0.035     0.105
263     1     -1000     -1000     -1     -0.5     0.105     0.1225
264     2     -1000     -1000     -1     -0.5     0.1225     0.14
265     3     -1000     -1000     -1     -0.5     0.14     0.1575
266     4     -1000     -1000     -1     -0.5     0.1575     0.175
267     5     -1000     -1000     -1     -0.5     0.175     0.1925
268     6     -1000     -1000     -1     -0.5     0.1925     0.21
269     7     -1000     -1000     -1     -0.5     0.21     0.8
270     8     -1000     -1000     -0.5     0     0.035     0.105
271     9     -1000     -1000     -0.5     0     0.105     0.1225
272     10     -1000     -1000     -0.5     0     0.1225     0.14
273     11     -1000     -1000     -0.5     0     0.14     0.1575
274     12     -1000     -1000     -0.5     0     0.1575     0.175
275     13     -1000     -1000     -0.5     0     0.175     0.1925
276     14     -1000     -1000     -0.5     0     0.1925     0.21
277     15     -1000     -1000     -0.5     0     0.21     0.245
278     16     -1000     -1000     -0.5     0     0.245     0.8
279     17     -1000     -1000     0     0.3     0.035     0.105
280     18     -1000     -1000     0     0.3     0.105     0.1225
281     19     -1000     -1000     0     0.3     0.1225     0.14
282     20     -1000     -1000     0     0.3     0.14     0.1575
283     21     -1000     -1000     0     0.3     0.1575     0.175
284     22     -1000     -1000     0     0.3     0.175     0.1925
285     23     -1000     -1000     0     0.3     0.1925     0.21
286     24     -1000     -1000     0     0.3     0.21     0.245
287     25     -1000     -1000     0     0.3     0.245     0.28
288     26     -1000     -1000     0     0.3     0.28     0.315
289     27     -1000     -1000     0     0.3     0.315     0.8
290     28     -1000     -1000     0.3     0.5     0.035     0.105
291     29     -1000     -1000     0.3     0.5     0.105     0.1225
292     30     -1000     -1000     0.3     0.5     0.1225     0.14
293     31     -1000     -1000     0.3     0.5     0.14     0.1575
294     32     -1000     -1000     0.3     0.5     0.1575     0.175
295     33     -1000     -1000     0.3     0.5     0.175     0.1925
296     34     -1000     -1000     0.3     0.5     0.1925     0.21
297     35     -1000     -1000     0.3     0.5     0.21     0.245
298     36     -1000     -1000     0.3     0.5     0.245     0.28
299     37     -1000     -1000     0.3     0.5     0.28     0.315
300     38     -1000     -1000     0.3     0.5     0.315     0.35
301     39     -1000     -1000     0.3     0.5     0.35     0.8
302     40     -1000     -1000     0.5     0.7     0.035     0.105
303     41     -1000     -1000     0.5     0.7     0.105     0.1225
304     42     -1000     -1000     0.5     0.7     0.1225     0.14
305     43     -1000     -1000     0.5     0.7     0.14     0.1575
306     44     -1000     -1000     0.5     0.7     0.1575     0.175
307     45     -1000     -1000     0.5     0.7     0.175     0.1925
308     46     -1000     -1000     0.5     0.7     0.1925     0.21
309     47     -1000     -1000     0.5     0.7     0.21     0.245
310     48     -1000     -1000     0.5     0.7     0.245     0.28
311     49     -1000     -1000     0.5     0.7     0.28     0.315
312     50     -1000     -1000     0.5     0.7     0.315     0.35
313     51     -1000     -1000     0.5     0.7     0.35     0.42
314     52     -1000     -1000     0.5     0.7     0.42     0.525
315     53     -1000     -1000     0.5     0.7     0.525     0.8
316     54     -1000     -1000     0.7     0.8     0.035     0.105
317     55     -1000     -1000     0.7     0.8     0.105     0.1225
318     56     -1000     -1000     0.7     0.8     0.1225     0.14
319     57     -1000     -1000     0.7     0.8     0.14     0.1575
320     58     -1000     -1000     0.7     0.8     0.1575     0.175
321     59     -1000     -1000     0.7     0.8     0.175     0.1925
322     60     -1000     -1000     0.7     0.8     0.1925     0.21
323     61     -1000     -1000     0.7     0.8     0.21     0.245
324     62     -1000     -1000     0.7     0.8     0.245     0.28
325     63     -1000     -1000     0.7     0.8     0.28     0.315
326     64     -1000     -1000     0.7     0.8     0.315     0.35
327     65     -1000     -1000     0.7     0.8     0.35     0.42
328     66     -1000     -1000     0.7     0.8     0.42     0.525
329     67     -1000     -1000     0.7     0.8     0.525     0.8
330     68     -1000     -1000     0.8     0.9     0.035     0.105
331     69     -1000     -1000     0.8     0.9     0.105     0.1225
332     70     -1000     -1000     0.8     0.9     0.1225     0.14
333     71     -1000     -1000     0.8     0.9     0.14     0.1575
334     72     -1000     -1000     0.8     0.9     0.1575     0.175
335     73     -1000     -1000     0.8     0.9     0.175     0.1925
336     74     -1000     -1000     0.8     0.9     0.1925     0.21
337     75     -1000     -1000     0.8     0.9     0.21     0.245
338     76     -1000     -1000     0.8     0.9     0.245     0.28
339     77     -1000     -1000     0.8     0.9     0.28     0.315
340     78     -1000     -1000     0.8     0.9     0.315     0.35
341     79     -1000     -1000     0.8     0.9     0.35     0.42
342     80     -1000     -1000     0.8     0.9     0.42     0.525
343     81     -1000     -1000     0.8     0.9     0.525     0.8
344     82     -1000     -1000     0.9     1     0.035     0.105
345     83     -1000     -1000     0.9     1     0.105     0.1225
346     84     -1000     -1000     0.9     1     0.1225     0.14
347     85     -1000     -1000     0.9     1     0.14     0.1575
348     86     -1000     -1000     0.9     1     0.1575     0.175
349     87     -1000     -1000     0.9     1     0.175     0.1925
350     88     -1000     -1000     0.9     1     0.1925     0.21
351     89     -1000     -1000     0.9     1     0.21     0.245
