Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
4 - 59 | 0.0
4 - 60 | -6.39926182246e-05
4 - 61 | 0.000786602340772
4 - 62 | 0.00161636009138
4 - 63 | 0.00173938442693
4 - 64 | 0.00133635502195
4 - 65 | 0.000291068648789
4 - 66 | 0.00010201213672
4 - 67 | 0.000570420418135
4 - 68 | 0.000500800928101
4 - 69 | 0.000337638614512
4 - 70 | 5.87501901555e-05
4 - 71 | 0.0
4 - 72 | 4.92409478168e-05
4 - 73 | -0.000503782089994
4 - 74 | -0.000943792813395
4 - 75 | -0.0013427413171
4 - 76 | -0.00124704708138
4 - 77 | 0.000602874364142
4 - 78 | 0.000379165340937
4 - 79 | 0.000473813815811
4 - 80 | 0.000629598515159
4 - 81 | 0.000427348324794
4 - 82 | 0.000174753055025
4 - 83 | 1.26661479731e-06
4 - 84 | 0.000565403371192
4 - 85 | 1.43071257275e-05
4 - 86 | 0.000284634008729
4 - 87 | -1.50388179219e-05
4 - 88 | -2.57015360191e-06
4 - 89 | 0.000563578772703
4 - 90 | 0.000297770109144
4 - 91 | 0.000226650311371
4 - 92 | 0.000422975814312
4 - 93 | 0.000556359168046
4 - 94 | 0.00065373773787
4 - 95 | 4.39538659098e-05
5 - 0 | 0.000199263562451
5 - 1 | 0.000345274800472
5 - 2 | 0.000277339726086
5 - 3 | 0.000170496065323
5 - 4 | 0.000144891114137
5 - 5 | 9.11015221894e-05
5 - 6 | 4.3151215665e-05
5 - 7 | 1.09619973348e-05
5 - 8 | 0.0
5 - 9 | 0.0
5 - 10 | 0.0
5 - 11 | 0.0
5 - 12 | 0.000165055226165
5 - 13 | 0.000196735864132
5 - 14 | 0.000388498497676
5 - 15 | 0.000301131247354
5 - 16 | 9.16317853728e-05
5 - 17 | 0.000122519590494
5 - 18 | 7.85526503431e-05
5 - 19 | 3.67625561623e-05
5 - 20 | 1.35908830685e-05
5 - 21 | 0.0
5 - 22 | 0.0
5 - 23 | 0.0
5 - 24 | 0.000125277194954
5 - 25 | 0.000212223546694
5 - 26 | 0.000408021393223
5 - 27 | 0.0003655187842
5 - 28 | 0.00017242654804
5 - 29 | 9.39231315333e-05
5 - 30 | 0.00014462304496
5 - 31 | 9.79357544531e-05
5 - 32 | 8.33617929122e-05
5 - 33 | 1.07316257138e-05
5 - 34 | 0.0
5 - 35 | 0.0
5 - 36 | 3.01691097574e-05
5 - 37 | 7.69947164245e-05
5 - 38 | 0.000379855585957
5 - 39 | 0.000173961970896
5 - 40 | 0.000205968717766
5 - 41 | 0.000151166945609
5 - 42 | 0.000159229890968
5 - 43 | 0.000167562237335
5 - 44 | 0.000108581816737
5 - 45 | 3.25797986691e-05
5 - 46 | 0.0
5 - 47 | 0.0
5 - 48 | -1.52919636222e-06
5 - 49 | 0.000237527652783
5 - 50 | 0.000337701802197
5 - 51 | 0.000304965188473
5 - 52 | 0.000239784195442
5 - 53 | 7.15054489408e-05
5 - 54 | 0.000221979217055
5 - 55 | -0.000790630088618
5 - 56 | 0.000128859324727
5 - 57 | 5.90153066843e-05
5 - 58 | 5.01149593197e-06
5 - 59 | 0.0
5 - 60 | 5.7182887464e-05
5 - 61 | 0.000338105588959
5 - 62 | 0.000692538090623
5 - 63 | 0.000711002559225
5 - 64 | 0.000548917207044
5 - 65 | 0.000161408812184
5 - 66 | 4.51845208554e-05
5 - 67 | 0.000209680830718
5 - 68 | 0.000226336595278
5 - 69 | 0.000132307409299
5 - 70 | 2.02323147279e-05
5 - 71 | 0.0
5 - 72 | 7.72217396064e-05
5 - 73 | -0.000106372894504
5 - 74 | -0.000235822701035
5 - 75 | -0.000348267705941
5 - 76 | -0.000344403790757
5 - 77 | 0.000266216918922
5 - 78 | 0.000173807091395
5 - 79 | 0.000206155713091
5 - 80 | 0.000268253859488
5 - 81 | 0.000188414524185
5 - 82 | 6.49758934587e-05
5 - 83 | 4.52720100477e-07
5 - 84 | 0.000204476650376
5 - 85 | 4.65672016148e-05
5 - 86 | 0.000154200077751
5 - 87 | 7.30548558005e-05
5 - 88 | 0.000103389716695
