Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
4 - 55 | 0.00041525
4 - 56 | 0.000178547
4 - 57 | 1.47782e-05
4 - 58 | 0.000549254
4 - 59 | 0.000430473
4 - 60 | -0.000133013
4 - 61 | 5.64971e-07
4 - 62 | -6.1289e-05
4 - 63 | -2.99346e-05
4 - 64 | 0.000418073
4 - 65 | 0.000274243
4 - 66 | 3.91985e-05
5 - 0 | 0.00227464
5 - 1 | 0.0015995
5 - 2 | 2.22001e-06
5 - 3 | 0.000851771
5 - 4 | 0.00405344
5 - 5 | 0.00394871
5 - 6 | 0.00119869
5 - 7 | 2.04232e-06
5 - 8 | 0.00131713
5 - 9 | 0.000197914
5 - 10 | 0.0024838
5 - 11 | 0.00280222
5 - 12 | 0.0021803
5 - 13 | 0.000251557
5 - 14 | 1.98298e-06
5 - 15 | 0.000648587
5 - 16 | -4.97123e-06
5 - 17 | 0.00141849
5 - 18 | 0.00167526
5 - 19 | 0.0018045
5 - 20 | 0.000588143
5 - 21 | 7.19457e-06
5 - 22 | 0.00071255
5 - 23 | -0.000197009
5 - 24 | 0.000957121
5 - 25 | 0.0010845
5 - 26 | 0.000970866
5 - 27 | 0.0010004
5 - 28 | 0.000552505
5 - 29 | 3.4579e-06
5 - 30 | 0.000284904
5 - 31 | -0.000124255
5 - 32 | 0.000326171
5 - 33 | 0.000803596
5 - 34 | 0.000739501
5 - 35 | 0.000438818
5 - 36 | 0.000458257
5 - 37 | 0.000275746
5 - 38 | 1.24612e-06
5 - 39 | 9.22361e-05
5 - 40 | 7.05935e-06
5 - 41 | 0.000797822
5 - 42 | 0.000231122
5 - 43 | 0.00052644
5 - 44 | 0.000283164
5 - 45 | 0.000167507
5 - 46 | 1.869e-06
5 - 47 | 0.000131188
5 - 48 | 3.16741e-05
5 - 49 | 3.65874e-05
5 - 50 | -0.000276451
5 - 51 | -0.000128989
5 - 52 | -0.000150612
5 - 53 | -3.30024e-06
5 - 54 | 0.000124801
5 - 55 | 0.000234588
5 - 56 | 6.20282e-05
5 - 57 | 5.3461e-06
5 - 58 | 0.000222574
5 - 59 | 4.63041e-05
5 - 60 | -0.000184845
5 - 61 | 3.75818e-05
5 - 62 | -8.70182e-05
5 - 63 | -1.43967e-05
5 - 64 | 0.000133736
5 - 65 | 6.44332e-05
5 - 66 | 1.14506e-05
6 - 0 | 0.000693595
6 - 1 | 0.00105852
6 - 2 | 1.534e-06
6 - 3 | 0.000410566
6 - 4 | 0.00072914
6 - 5 | 0.00119869
6 - 6 | 0.000734122
6 - 7 | 9.15882e-07
6 - 8 | 0.000464687
6 - 9 | -0.000193942
6 - 10 | 0.000422517
6 - 11 | 0.00113427
6 - 12 | 0.000840725
6 - 13 | 0.000115283
6 - 14 | 8.19149e-07
6 - 15 | 0.000205245
6 - 16 | -8.2333e-05
6 - 17 | -1.72497e-05
6 - 18 | 0.000674978
6 - 19 | 0.00058034
6 - 20 | 0.00027552
6 - 21 | 2.02149e-06
6 - 22 | 0.000261099
6 - 23 | -7.96366e-05
6 - 24 | -7.06271e-05
6 - 25 | 0.000343079
6 - 26 | 0.000297832
6 - 27 | 0.000318268
6 - 28 | 0.000164395
6 - 29 | 1.23798e-06
6 - 30 | 8.29296e-05
6 - 31 | -8.11786e-06
6 - 32 | -0.00028448
