Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
4 - 57 | 2.08754e-05
4 - 58 | 0.000693014
4 - 59 | 0.0011986
4 - 60 | 0.00179833
4 - 61 | 0.0016025
4 - 62 | 0.000625933
4 - 63 | 0.00127265
4 - 64 | 0.00150281
4 - 65 | 0.00149149
4 - 66 | 6.80371e-05
5 - 0 | 0.00103247
5 - 1 | 0.000840659
5 - 2 | 1.09884e-06
5 - 3 | 0.00084272
5 - 4 | 0.00292863
5 - 5 | 0.00223093
5 - 6 | 0.000946437
5 - 7 | 1.49046e-06
5 - 8 | 0.000722288
5 - 9 | 0.00258099
5 - 10 | 0.00288927
5 - 11 | 0.0037829
5 - 12 | 0.00261493
5 - 13 | 0.000289068
5 - 14 | 1.92481e-06
5 - 15 | 0.000421314
5 - 16 | 0.0019835
5 - 17 | 0.00333355
5 - 18 | 0.00370116
5 - 19 | 0.00313369
5 - 20 | 0.00103285
5 - 21 | 8.87002e-06
5 - 22 | 0.000528434
5 - 23 | 0.00200077
5 - 24 | 0.00307552
5 - 25 | 0.00375619
5 - 26 | 0.00244685
5 - 27 | 0.00193244
5 - 28 | 0.00133627
5 - 29 | 6.89678e-06
5 - 30 | 0.000210065
5 - 31 | 0.00155128
5 - 32 | 0.00300642
5 - 33 | 0.00349257
5 - 34 | 0.00415928
5 - 35 | 0.00188196
5 - 36 | 0.00116792
5 - 37 | 0.000706817
5 - 38 | 2.04605e-06
5 - 39 | 0.000479336
5 - 40 | 0.00263677
5 - 41 | 0.00332192
5 - 42 | 0.00191871
5 - 43 | 0.00236441
5 - 44 | 0.00142221
5 - 45 | 0.000458063
5 - 46 | 6.16042e-06
5 - 47 | 0.000392892
5 - 48 | 0.00146333
5 - 49 | 0.00249954
5 - 50 | 0.00329455
5 - 51 | 0.00209999
5 - 52 | 0.00224061
5 - 53 | 0.00157713
5 - 54 | 0.00104666
5 - 55 | 0.00125709
5 - 56 | 0.000467403
5 - 57 | 1.59021e-05
5 - 58 | 0.000527914
5 - 59 | 0.000913048
5 - 60 | 0.0013699
5 - 61 | 0.00122073
5 - 62 | 0.000476814
5 - 63 | 0.000969461
5 - 64 | 0.00114479
5 - 65 | 0.00113616
5 - 66 | 5.18283e-05
6 - 0 | 0.000438008
6 - 1 | 0.000356636
6 - 2 | 4.66167e-07
6 - 3 | 0.000357511
6 - 4 | 0.00124243
6 - 5 | 0.000946437
6 - 6 | 0.000401511
6 - 7 | 6.32306e-07
6 - 8 | 0.000306419
6 - 9 | 0.00109494
6 - 10 | 0.00122573
6 - 11 | 0.00160483
6 - 12 | 0.00110934
6 - 13 | 0.000122633
6 - 14 | 8.16569e-07
6 - 15 | 0.000178736
6 - 16 | 0.000841468
6 - 17 | 0.00141421
6 - 18 | 0.00157016
6 - 19 | 0.00132942
6 - 20 | 0.00043817
6 - 21 | 3.76297e-06
6 - 22 | 0.00022418
6 - 23 | 0.000848797
6 - 24 | 0.00130474
6 - 25 | 0.0015935
6 - 26 | 0.00103804
6 - 27 | 0.000819808
6 - 28 | 0.000566893
6 - 29 | 2.92585e-06
6 - 30 | 8.9117e-05
6 - 31 | 0.000658105
6 - 32 | 0.00127543
6 - 33 | 0.00148167
6 - 34 | 0.00176451
6 - 35 | 0.000798391
6 - 36 | 0.00049547
6 - 37 | 0.000299856
6 - 38 | 8.68003e-07
6 - 39 | 0.000203351
6 - 40 | 0.00111861
6 - 41 | 0.00140927
6 - 42 | 0.000813983
6 - 43 | 0.00100307
6 - 44 | 0.000603349
6 - 45 | 0.000194326
6 - 46 | 2.61346e-06
6 - 47 | 0.000166678
6 - 48 | 0.000620793
6 - 49 | 0.00106039
6 - 50 | 0.00139766
6 - 51 | 0.00089089
6 - 52 | 0.000950542
6 - 53 | 0.000669073
6 - 54 | 0.000444027
6 - 55 | 0.000533303
6 - 56 | 0.000198288
6 - 57 | 6.74623e-06
6 - 58 | 0.000223959
6 - 59 | 0.000387346
6 - 60 | 0.00058116
