Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
3 - 16 | 1.32698918692e-05
3 - 17 | 4.80893438186e-06
3 - 18 | 1.68932689002e-06
3 - 19 | 1.68251245873e-07
3 - 20 | -1.73402076521e-09
3 - 21 | 0.0
3 - 22 | 0.0
3 - 23 | 0.0
3 - 24 | -3.29019246246e-06
3 - 25 | 5.81610577517e-06
3 - 26 | 6.15506084645e-06
3 - 27 | 2.12634119649e-05
3 - 28 | 7.03816582264e-06
3 - 29 | 4.54103733699e-06
3 - 30 | 1.65242823632e-06
3 - 31 | 8.77679500271e-07
3 - 32 | -4.74856109944e-07
3 - 33 | -3.38017269932e-07
3 - 34 | 0.0
3 - 35 | 0.0
3 - 36 | -3.21682123089e-06
3 - 37 | 2.8331706508e-06
3 - 38 | -1.00418848347e-05
3 - 39 | 3.9964191939e-06
3 - 40 | 1.07907690146e-05
3 - 41 | 5.42016954287e-06
3 - 42 | 2.27999123864e-06
3 - 43 | 1.00982810421e-06
3 - 44 | -5.08131539464e-08
3 - 45 | -2.21943309501e-07
3 - 46 | 0.0
3 - 47 | 0.0
3 - 48 | -1.03848590912e-05
3 - 49 | -2.20685155135e-05
3 - 50 | 1.62927316986e-06
3 - 51 | -1.53287222043e-06
3 - 52 | -8.35056539741e-06
3 - 53 | -6.52071196978e-07
3 - 54 | 1.06342776628e-06
3 - 55 | 7.17463638638e-06
3 - 56 | -6.4271792436e-07
3 - 57 | 4.62382864239e-07
3 - 58 | 4.6501760509e-09
3 - 59 | 0.0
3 - 60 | -9.65221039998e-06
3 - 61 | -4.32596469114e-06
3 - 62 | -4.25644362923e-06
3 - 63 | 1.30720872881e-05
3 - 64 | -8.06148672487e-06
3 - 65 | -9.02827876579e-06
3 - 66 | -1.8460940821e-06
3 - 67 | 1.84994238023e-06
3 - 68 | 4.69080911876e-06
3 - 69 | 8.25930270337e-07
3 - 70 | 2.1271213845e-07
3 - 71 | 0.0
3 - 72 | 2.35907522566e-05
3 - 73 | 7.42338402145e-06
3 - 74 | 7.25487402852e-06
3 - 75 | -5.58697619235e-06
3 - 76 | -3.12980866093e-05
3 - 77 | -1.97394022009e-08
3 - 78 | 1.53253573995e-05
3 - 79 | 1.05918745461e-05
3 - 80 | 7.96970245352e-07
3 - 81 | 6.22422291245e-07
3 - 82 | 1.22928227544e-06
3 - 83 | 5.55511296108e-09
3 - 84 | -3.62363237767e-06
3 - 85 | 4.80787307133e-06
3 - 86 | -1.07169038931e-05
3 - 87 | -9.28803852859e-07
3 - 88 | -6.50864817704e-06
3 - 89 | -9.15576577699e-07
3 - 90 | 1.5318526073e-06
3 - 91 | 6.31268907445e-06
3 - 92 | 4.78028822727e-06
3 - 93 | 4.7474528878e-06
3 - 94 | 2.98218025297e-06
3 - 95 | 1.14020399575e-07
4 - 0 | -4.27459748193e-06
4 - 1 | -2.26062427403e-07
4 - 2 | 2.23004895969e-05
4 - 3 | 5.28043011489e-05
4 - 4 | 6.0087029305e-05
4 - 5 | 2.11933241498e-05
4 - 6 | 3.94212589731e-06
4 - 7 | 1.04242187077e-06
4 - 8 | 0.0
4 - 9 | 0.0
4 - 10 | 0.0
4 - 11 | 0.0
4 - 12 | 3.165202732e-06
4 - 13 | 6.79079367174e-06
4 - 14 | 6.36351107895e-06
4 - 15 | 1.11636717514e-05
4 - 16 | 1.42281054726e-05
4 - 17 | 5.1601445393e-06
4 - 18 | 6.32524507249e-07
4 - 19 | 9.13136907117e-08
4 - 20 | 3.28840839662e-08
4 - 21 | 0.0
4 - 22 | 0.0
4 - 23 | 0.0
4 - 24 | 6.48918519272e-06
4 - 25 | 6.63434842052e-06
4 - 26 | 8.0122428721e-06
4 - 27 | 4.65992655759e-06
4 - 28 | 4.80913318095e-06
4 - 29 | 3.07038257924e-06
4 - 30 | 3.94028712106e-07
4 - 31 | 7.68044006423e-07
4 - 32 | -1.15018751255e-07
4 - 33 | -1.94225300093e-08
4 - 34 | 0.0
4 - 35 | 0.0
4 - 36 | 2.8513159564e-06
4 - 37 | 3.92502545632e-06
4 - 38 | -5.18508336814e-06
4 - 39 | 1.11446346896e-05
4 - 40 | 6.98536873238e-06
4 - 41 | 2.98057957228e-06
4 - 42 | 2.28462605072e-07
4 - 43 | -1.43724688485e-07
4 - 44 | 4.95131717821e-08
4 - 45 | 1.94011705211e-07
4 - 46 | 0.0
4 - 47 | 0.0
4 - 48 | -5.61081190249e-06
4 - 49 | -5.98194750198e-07
4 - 50 | -1.14257268564e-06
4 - 51 | 6.57829591447e-06
4 - 52 | -2.03668252231e-06
4 - 53 | -2.13547525278e-06
4 - 54 | 1.5428312283e-07
4 - 55 | 7.16059380868e-06
4 - 56 | -2.12459886945e-07
4 - 57 | -5.68417533215e-07
4 - 58 | -8.98811281441e-08
4 - 59 | 0.0
4 - 60 | -1.23244732664e-06
4 - 61 | 9.36099274537e-06
4 - 62 | 2.16996162975e-06
4 - 63 | -3.682718221e-06
4 - 64 | -8.13441474342e-07
4 - 65 | -4.76921737709e-06
4 - 66 | -2.04720760635e-06
4 - 67 | 1.56934880865e-06
4 - 68 | 6.79022067691e-07
4 - 69 | -9.97493620805e-07
4 - 70 | -2.74451979873e-07
4 - 71 | 0.0
4 - 72 | 1.75671308423e-05
4 - 73 | 8.79199272606e-06
4 - 74 | -2.86526112616e-06
4 - 75 | -1.58620091416e-05
4 - 76 | -7.94037753371e-06
4 - 77 | -2.55524527534e-07
4 - 78 | 6.69760951591e-07
4 - 79 | 2.1324118751e-06
4 - 80 | 1.99742851735e-07
4 - 81 | 5.97263117802e-07
4 - 82 | 1.21074610124e-07
4 - 83 | -1.14979055404e-08
4 - 84 | 6.48284796915e-07
4 - 85 | 3.77930481005e-07
4 - 86 | -4.51476810517e-06
4 - 87 | -6.76190313098e-06
4 - 88 | 7.65735716212e-07
4 - 89 | 1.50964353893e-06
4 - 90 | 4.41924824427e-06
4 - 91 | 1.84528641395e-06
4 - 92 | -1.09249113813e-06
4 - 93 | -5.13424166299e-07
4 - 94 | 5.37306574173e-07
4 - 95 | 1.13085633199e-08
5 - 0 | -1.85114713311e-06
5 - 1 | -1.33163610456e-06
5 - 2 | 5.21792648683e-06
5 - 3 | 1.30377268615e-05
5 - 4 | 2.11933241498e-05
5 - 5 | 2.70726355293e-05
5 - 6 | 5.1095737884e-06
5 - 7 | 6.0392623889e-07
5 - 8 | 0.0
5 - 9 | 0.0
5 - 10 | 0.0
5 - 11 | 0.0
5 - 12 | -1.16943499771e-06
5 - 13 | 6.65074109819e-06
5 - 14 | 1.92267409477e-06
5 - 15 | 3.15713531987e-06
5 - 16 | 4.9490973744e-06
5 - 17 | 6.57711323817e-06
5 - 18 | 1.48290878247e-06
5 - 19 | 4.03975550388e-07
5 - 20 | 2.75587081652e-08
5 - 21 | 0.0
5 - 22 | 0.0
5 - 23 | 0.0
5 - 24 | 5.64146441528e-07
5 - 25 | 5.50206537014e-06
5 - 26 | -1.73505945867e-07
5 - 27 | 3.15184492909e-07
5 - 28 | 1.63025424491e-06
5 - 29 | 1.17044653606e-06
5 - 30 | 1.23060801743e-06
5 - 31 | 8.45662482778e-07
5 - 32 | 1.39239254331e-08
5 - 33 | 6.96972646809e-08
5 - 34 | 0.0
5 - 35 | 0.0
5 - 36 | -8.06530930121e-07
5 - 37 | 1.65238640373e-06
5 - 38 | -7.180877347e-06
5 - 39 | 1.93924371177e-06
5 - 40 | 4.40515576089e-07
5 - 41 | 2.64662937628e-07
5 - 42 | 6.63777353199e-07
5 - 43 | 8.86617443968e-07
5 - 44 | 7.19058848544e-08
5 - 45 | 2.22934037118e-07
5 - 46 | 0.0
5 - 47 | 0.0
5 - 48 | -1.9047336843e-07
5 - 49 | -4.85155357179e-07
5 - 50 | 2.87823212667e-06
5 - 51 | 3.46691011606e-07
5 - 52 | 6.02605342728e-07
5 - 53 | -3.38163418005e-06
5 - 54 | -1.56705911872e-06
5 - 55 | 5.11367509307e-06
5 - 56 | 5.21613063042e-07
5 - 57 | 9.7537291086e-08
5 - 58 | -1.98718156376e-08
5 - 59 | 0.0
5 - 60 | 1.57466346324e-06
5 - 61 | 1.58159626652e-06
5 - 62 | 3.79125293666e-06
5 - 63 | -6.75171385816e-06
5 - 64 | 2.36368509841e-06
5 - 65 | 1.06927587254e-06
5 - 66 | 1.83046978825e-06
5 - 67 | 1.38288825758e-06
5 - 68 | 1.28180552694e-07
5 - 69 | -1.4696074183e-07
5 - 70 | -9.17578649252e-08
5 - 71 | 0.0
5 - 72 | 6.65459390325e-06
5 - 73 | 3.68728957146e-07
5 - 74 | -2.33548379803e-06
5 - 75 | -1.16796717537e-05
5 - 76 | 2.29004390833e-06
5 - 77 | 7.58215529113e-08
5 - 78 | 1.41670535775e-06
5 - 79 | 3.12293245306e-06
5 - 80 | -5.50942137303e-07
5 - 81 | 6.41618757333e-08
5 - 82 | -4.70771001235e-08
5 - 83 | -6.56973872415e-09
5 - 84 | 7.09906460634e-08
5 - 85 | -2.43723193461e-06
5 - 86 | -4.1504547945e-06
5 - 87 | -5.46242119728e-06
5 - 88 | -4.44136417778e-07
5 - 89 | -2.14752828543e-07
5 - 90 | 1.73348596664e-06
5 - 91 | 8.71888250904e-07
5 - 92 | -1.0454813295e-06
5 - 93 | -7.90908516717e-07
5 - 94 | -2.11326870906e-07
5 - 95 | 3.98353340299e-08
6 - 0 | 1.54636484389e-07
6 - 1 | -8.58826960183e-07
6 - 2 | 1.16979586262e-06
6 - 3 | 2.17827933053e-06
6 - 4 | 3.94212589731e-06
6 - 5 | 5.1095737884e-06
6 - 6 | 3.73915994265e-06
6 - 7 | 5.35754724997e-07
6 - 8 | 0.0
6 - 9 | 0.0
6 - 10 | 0.0
6 - 11 | 0.0
6 - 12 | 1.24151768122e-07
6 - 13 | 1.9969484521e-06
6 - 14 | -6.31122430835e-08
6 - 15 | 5.07927555351e-07
6 - 16 | 6.12844415305e-07
6 - 17 | 1.52556438468e-06
6 - 18 | 1.20308434986e-06
6 - 19 | 4.58190719288e-07
6 - 20 | 3.0334488257e-08
6 - 21 | 0.0
6 - 22 | 0.0
6 - 23 | 0.0
6 - 24 | 1.19729803356e-06
6 - 25 | 1.14493627558e-06
6 - 26 | 2.60617891615e-06
6 - 27 | -9.04075161478e-07
6 - 28 | 2.39798121172e-08
6 - 29 | 3.48974528144e-07
6 - 30 | 3.83224453161e-07
6 - 31 | 2.70580665657e-07
6 - 32 | 1.97460981376e-08
6 - 33 | -1.29552587782e-08
6 - 34 | 0.0
6 - 35 | 0.0
6 - 36 | -1.26365364469e-06
6 - 37 | 1.06307452682e-07
6 - 38 | 2.83857964674e-07
6 - 39 | -4.53360064664e-07
6 - 40 | -6.32734356937e-08
6 - 41 | -1.97047562741e-07
6 - 42 | 4.96408478286e-07
6 - 43 | 5.5732523991e-07
6 - 44 | 4.93747794371e-08
6 - 45 | -1.24268488461e-07
