Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
3 - 1 | 0.00228186050857
3 - 2 | 0.00206048672626
3 - 3 | 0.000622213146502
3 - 4 | 0.000193493810402
3 - 5 | 8.23623585902e-05
3 - 6 | 1.84118873686e-05
3 - 7 | 5.25707855628e-06
3 - 8 | 0.0
3 - 9 | 0.0
3 - 10 | 0.0
3 - 11 | 0.0
3 - 12 | 0.000830788778424
3 - 13 | 0.00215158858895
3 - 14 | 0.00240478119479
3 - 15 | 0.00103350383692
3 - 16 | 0.000508916029539
3 - 17 | 0.000234209771655
3 - 18 | 7.92800947935e-05
3 - 19 | 2.84277756279e-05
3 - 20 | 5.18906580648e-06
3 - 21 | 0.0
3 - 22 | 0.0
3 - 23 | 0.0
3 - 24 | 0.000781528882008
3 - 25 | 0.00206535618862
3 - 26 | 0.00238768268208
3 - 27 | 0.0014019375884
3 - 28 | 0.000761883724801
3 - 29 | 0.000378704011119
3 - 30 | 0.000199725050837
3 - 31 | 8.31837869167e-05
3 - 32 | -2.39251675614e-05
3 - 33 | -4.44603981116e-06
3 - 34 | 0.0
3 - 35 | 0.0
3 - 36 | 0.000677665289254
3 - 37 | 0.00188568764227
3 - 38 | 0.00233960329926
3 - 39 | 0.00175181134326
3 - 40 | 0.000872981904612
3 - 41 | 0.000565702870008
3 - 42 | 0.000395128281761
3 - 43 | 0.000198104462788
3 - 44 | 3.90921633117e-05
3 - 45 | -2.29430507514e-05
3 - 46 | 0.0
3 - 47 | 0.0
3 - 48 | 0.000491866973975
3 - 49 | 0.00150682881074
3 - 50 | 0.00205460247474
3 - 51 | 0.00168538086369
3 - 52 | 0.00104718465718
3 - 53 | 0.00103959142213
3 - 54 | 0.000554897094985
3 - 55 | 0.0011641878337
3 - 56 | 0.000196865222753
3 - 57 | 2.74847274692e-05
3 - 58 | 1.83642859716e-06
3 - 59 | 0.0
3 - 60 | 0.000403832799555
3 - 61 | 0.00103020421392
3 - 62 | 0.0015865683895
3 - 63 | 0.0013821161749
3 - 64 | 0.000955118109625
3 - 65 | 0.00094856681424
3 - 66 | 0.000864027107297
3 - 67 | 0.00056189943908
3 - 68 | 0.000437636518243
3 - 69 | 0.000117157107689
3 - 70 | 1.10195582543e-05
3 - 71 | 0.0
3 - 72 | 0.000473365852406
3 - 73 | 0.00112852812264
3 - 74 | 0.0019814922461
3 - 75 | 0.00196717831136
3 - 76 | 0.00160292331804
3 - 77 | 0.000929573025443
3 - 78 | 0.000812811561425
3 - 79 | 0.000798723900014
3 - 80 | 0.000680158845144
3 - 81 | 0.00037776004686
3 - 82 | 9.65479845045e-05
3 - 83 | 4.82225887663e-07
3 - 84 | 0.000289560700707
3 - 85 | 0.000592996530031
3 - 86 | 0.00103237635019
3 - 87 | 0.00104958570699
3 - 88 | 0.00066175209159
3 - 89 | 0.000444978461778
3 - 90 | 0.000460847776151
3 - 91 | 0.000538727760637
3 - 92 | 0.000600969438996
3 - 93 | 0.000615680216284
3 - 94 | 0.000487364305655
3 - 95 | 2.17733066141e-05
4 - 0 | 0.000321026706614
4 - 1 | 0.000709605521986
4 - 2 | 0.000640763426791
4 - 3 | 0.000193493810402
4 - 4 | 6.01720726642e-05
4 - 5 | 2.56127770474e-05
4 - 6 | 5.72566854891e-06
4 - 7 | 1.63482910504e-06
4 - 8 | 0.0
4 - 9 | 0.0
4 - 10 | 0.0
4 - 11 | 0.0
4 - 12 | 0.000258355978623
4 - 13 | 0.000669093986255
4 - 14 | 0.000747830995181
4 - 15 | 0.000321395644878
4 - 16 | 0.000158261043316
4 - 17 | 7.28337892019e-05
4 - 18 | 2.46542647273e-05
4 - 19 | 8.84037673974e-06
4 - 20 | 1.61367872243e-06
4 - 21 | 0.0
4 - 22 | 0.0
4 - 23 | 0.0
4 - 24 | 0.000243037297057
4 - 25 | 0.000642277716279
4 - 26 | 0.000742513755591
4 - 27 | 0.000435969968574
4 - 28 | 0.000236928110285
4 - 29 | 0.000117768135466
4 - 30 | 6.21098434459e-05
4 - 31 | 2.58682221433e-05
4 - 32 | -7.4401704014e-06
4 - 33 | -1.38261492721e-06
4 - 34 | 0.0
4 - 35 | 0.0
4 - 36 | 0.000210738136493
4 - 37 | 0.000586404979037
4 - 38 | 0.000727562186285
4 - 39 | 0.000544772565188
4 - 40 | 0.000271477059084
4 - 41 | 0.000175920429339
4 - 42 | 0.000122875701463
4 - 43 | 6.16058782717e-05
4 - 44 | 1.21567531618e-05
4 - 45 | -7.13475492619e-06
4 - 46 | 0.0
4 - 47 | 0.0
4 - 48 | 0.000152959183747
4 - 49 | 0.000468588698025
4 - 50 | 0.000638933561487
4 - 51 | 0.000524114231798
4 - 52 | 0.000325650061641
4 - 53 | 0.000323288742228
4 - 54 | 0.000172560084745
4 - 55 | 0.000362035327013
4 - 56 | 6.12205034566e-05
4 - 57 | 8.547110706e-06
4 - 58 | 5.71086562206e-07
4 - 59 | 0.0
4 - 60 | 0.000125582603953
4 - 61 | 0.000320369538903
4 - 62 | 0.000493385851575
4 - 63 | 0.000429805970193
4 - 64 | 0.000297019507631
4 - 65 | 0.000294982207207
4 - 66 | 0.000268692325486
4 - 67 | 0.000174737650822
4 - 68 | 0.000136094773892
4 - 69 | 3.64331343847e-05
4 - 70 | 3.42682620506e-06
4 - 71 | 0.0
4 - 72 | 0.000147205765438
4 - 73 | 0.000350945986633
4 - 74 | 0.000616197981568
4 - 75 | 0.000611746680933
4 - 76 | 0.000498471853791
4 - 77 | 0.000289075580854
4 - 78 | 0.000252765482445
4 - 79 | 0.000248384547549
4 - 80 | 0.000211513574352
4 - 81 | 0.000117474584547
4 - 82 | 3.00241766241e-05
4 - 83 | 1.4996103024e-07
4 - 84 | 9.00466401867e-05
4 - 85 | 0.000184408122516
4 - 86 | 0.00032104502274
4 - 87 | 0.000326396732262
4 - 88 | 0.0002057895023
4 - 89 | 0.000138377947493
4 - 90 | 0.000143312935003
4 - 91 | 0.000167531798004
4 - 92 | 0.000186887511684
4 - 93 | 0.000191462221118
4 - 94 | 0.000151558958671
4 - 95 | 6.77099171804e-06
5 - 0 | 0.000136647868334
5 - 1 | 0.000302049891612
5 - 2 | 0.000272746642485
5 - 3 | 8.23623585902e-05
5 - 4 | 2.56127770474e-05
5 - 5 | 1.09023059874e-05
5 - 6 | 2.43718166082e-06
5 - 7 | 6.95879525567e-07
5 - 8 | 0.0
5 - 9 | 0.0
5 - 10 | 0.0
5 - 11 | 0.0
5 - 12 | 0.000109971516459
5 - 13 | 0.000284805796692
5 - 14 | 0.000318320903713
5 - 15 | 0.000136804910182
5 - 16 | 6.73652184189e-05
5 - 17 | 3.10023491256e-05
5 - 18 | 1.04943067069e-05
