Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
6 - 6 | 0.000989793
6 - 7 | -1.60606e-06
6 - 8 | -0.000175164
6 - 9 | 7.66503e-05
6 - 10 | 0.000108715
6 - 11 | -0.000162587
6 - 12 | -0.000233273
6 - 13 | 0.000320399
6 - 14 | -1.48913e-07
6 - 15 | 4.74832e-05
6 - 16 | -0.000413903
6 - 17 | 0.000747606
6 - 18 | -0.000228606
6 - 19 | -0.000161311
6 - 20 | 0.000430162
6 - 21 | -1.396e-07
6 - 22 | -0.00022717
6 - 23 | 6.26952e-05
6 - 24 | 3.99325e-05
6 - 25 | -0.000692846
6 - 26 | 0.000716308
6 - 27 | -0.000406586
6 - 28 | -0.00013737
6 - 29 | 2.01751e-06
6 - 30 | 0.000138715
6 - 31 | 0.000169426
6 - 32 | -1.25479e-06
6 - 33 | 0.000204
6 - 34 | -0.000216777
6 - 35 | -0.000285853
6 - 36 | 0.000105782
6 - 37 | -3.96621e-05
6 - 38 | -1.81558e-08
6 - 39 | -0.000126442
6 - 40 | 0.000199318
6 - 41 | -0.000379353
6 - 42 | 0.000370197
6 - 43 | 3.69057e-05
6 - 44 | -0.000198963
6 - 45 | -0.000113021
6 - 46 | -8.76107e-08
6 - 47 | 2.28047e-05
6 - 48 | 4.45599e-05
6 - 49 | 0.000348876
6 - 50 | -0.000409219
6 - 51 | 0.000504874
6 - 52 | 0.000165443
6 - 53 | -4.1418e-05
6 - 54 | 0.000325669
6 - 55 | -8.5544e-05
6 - 56 | 4.12536e-05
6 - 57 | 3.08041e-06
6 - 58 | -6.27098e-05
6 - 59 | 3.76244e-06
6 - 60 | -0.000206152
6 - 61 | 0.000229484
6 - 62 | -6.46774e-05
6 - 63 | -4.96623e-05
6 - 64 | -2.90344e-05
6 - 65 | -7.49224e-05
6 - 66 | -9.14137e-07
7 - 0 | -2.8715e-07
7 - 1 | 6.9676e-07
7 - 2 | 2.8753e-10
7 - 3 | -3.76412e-07
7 - 4 | 3.41702e-07
7 - 5 | 2.70279e-07
7 - 6 | -1.60606e-06
7 - 7 | 7.72243e-09
7 - 8 | 4.72613e-07
7 - 9 | -6.96444e-07
7 - 10 | 7.47126e-07
7 - 11 | 8.18761e-07
7 - 12 | -1.5314e-06
7 - 13 | -7.95481e-08
7 - 14 | -2.01821e-09
7 - 15 | -1.3727e-07
7 - 16 | 8.00636e-07
